baseline,test_year,roc_auc,average_precision,precision_at_20_h3_tiebreak,precision_at_20_expected_ties,positive_rate,n_rows,n_positive
self_lag_1,2014,0.7073786916231151,0.2611380559170816,0.40535714285714286,0.45091031602326603,0.0852629513343799,20384,1738
self_lag_1,2015,0.7939715143925182,0.43781518710654116,0.5912499999999999,0.6192087186377844,0.10030804774740085,20776,2084
self_lag_1,2016,0.805579244735869,0.4912577426392128,0.5058823529411766,0.5901871613175793,0.14820447409733123,20384,3021
self_lag_1,2017,0.7270685328427663,0.22624893269588706,0.2,0.2023989407705401,0.020653453689167975,20384,421
self_lag_1,2018,0.766987489213826,0.3250086727085336,0.30865384615384617,0.3140063163820944,0.029532967032967032,20384,602
self_lag_1,2019,0.8134960019311361,0.5336743778550713,0.6604651162790698,0.7094710417800698,0.17283163265306123,20384,3523
self_lag_1,2020,0.7372299574030693,0.37810394211239445,0.6129629629629632,0.7315255814019316,0.15850019252984213,20776,3293
local_pressure_lag_1,2014,0.719839877176198,0.27537859625809363,0.4303571428571428,0.45057737069449644,0.0852629513343799,20384,1738
local_pressure_lag_1,2015,0.8196225442397274,0.3833165540168225,0.5175,0.534670537929442,0.10030804774740085,20776,2084
local_pressure_lag_1,2016,0.8364963941575589,0.5112406568892037,0.585294117647059,0.5946779222366994,0.14820447409733123,20384,3021
local_pressure_lag_1,2017,0.7475312106494401,0.1419149346730862,0.169,0.15844328251202788,0.020653453689167975,20384,421
local_pressure_lag_1,2018,0.7890715190929973,0.23180580970811307,0.24615384615384617,0.24784110991537625,0.029532967032967032,20384,602
local_pressure_lag_1,2019,0.828974265093141,0.5200073441388819,0.6883720930232559,0.7090020291378674,0.17283163265306123,20384,3523
local_pressure_lag_1,2020,0.7408990719873138,0.3374681642756351,0.7000000000000001,0.7672951758000027,0.15850019252984213,20776,3293
